Year,Area,Main type of activity,Level of education,Population 31 Dec
2000,MK18 Kainuu,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,70
2000,MK19 Lapland,Total,Total,191768
2000,MK19 Lapland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,5291
2000,MK19 Lapland,Employed,Total,69520
2000,MK19 Lapland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,4369
2000,MK19 Lapland,Unemployed,Total,18529
2000,MK19 Lapland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,189
2000,MK21 Åland,Total,Total,25776
2000,MK21 Åland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,782
2000,MK21 Åland,Employed,Total,12932
2000,MK21 Åland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,636
2000,MK21 Åland,Unemployed,Total,269
2000,MK21 Åland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,6
2001,MK01 Uusimaa,Total,Total,1408525
2001,MK01 Uusimaa,Total,7-8 Master's or equivalent level or doctoral or equivalent level,122834
2001,MK01 Uusimaa,Employed,Total,703670
2001,MK01 Uusimaa,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,98704
2001,MK01 Uusimaa,Unemployed,Total,57700
2001,MK01 Uusimaa,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,3265
2001,MK02 Southwest Finland,Total,Total,449293
2001,MK02 Southwest Finland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,22652
2001,MK02 Southwest Finland,Employed,Total,198317
2001,MK02 Southwest Finland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,17972
2001,MK02 Southwest Finland,Unemployed,Total,24311
2001,MK02 Southwest Finland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,790
2001,MK05 Kanta-Häme,Total,Total,165509
2001,MK05 Kanta-Häme,Total,7-8 Master's or equivalent level or doctoral or equivalent level,5863
2001,MK05 Kanta-Häme,Employed,Total,70458
2001,MK05 Kanta-Häme,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,4637
2001,MK05 Kanta-Häme,Unemployed,Total,9302
2001,MK05 Kanta-Häme,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,127
2001,MK07 Päijät-Häme,Total,Total,205071
2001,MK07 Päijät-Häme,Total,7-8 Master's or equivalent level or doctoral or equivalent level,6097
2001,MK07 Päijät-Häme,Employed,Total,85169
2001,MK07 Päijät-Häme,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,4822
2001,MK07 Päijät-Häme,Unemployed,Total,14480
2001,MK07 Päijät-Häme,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,154
2001,MK08 Kymenlaakso,Total,Total,179292
2001,MK08 Kymenlaakso,Total,7-8 Master's or equivalent level or doctoral or equivalent level,5156
2001,MK08 Kymenlaakso,Employed,Total,72409
2001,MK08 Kymenlaakso,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,3998
2001,MK08 Kymenlaakso,Unemployed,Total,12594
2001,MK08 Kymenlaakso,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,150
2001,MK09 South Karelia,Total,Total,136161
2001,MK09 South Karelia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,4341
2001,MK09 South Karelia,Employed,Total,53608
2001,MK09 South Karelia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,3483
2001,MK09 South Karelia,Unemployed,Total,10251
2001,MK09 South Karelia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,150
2001,MK04 Satakunta,Total,Total,231307
2001,MK04 Satakunta,Total,7-8 Master's or equivalent level or doctoral or equivalent level,6470
2001,MK04 Satakunta,Employed,Total,92984
2001,MK04 Satakunta,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,5316
2001,MK04 Satakunta,Unemployed,Total,17092
2001,MK04 Satakunta,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,176
2001,MK06 Pirkanmaa,Total,Total,456934
2001,MK06 Pirkanmaa,Total,7-8 Master's or equivalent level or doctoral or equivalent level,22849
2001,MK06 Pirkanmaa,Employed,Total,195933
2001,MK06 Pirkanmaa,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,18645
2001,MK06 Pirkanmaa,Unemployed,Total,29555
2001,MK06 Pirkanmaa,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,807
2001,MK13 Central Finland,Total,Total,263574
2001,MK13 Central Finland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,11578
2001,MK13 Central Finland,Employed,Total,104309
2001,MK13 Central Finland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,9369
2001,MK13 Central Finland,Unemployed,Total,19478
2001,MK13 Central Finland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,459
2001,MK14 South Ostrobothnia,Total,Total,199639
2001,MK14 South Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,4563
2001,MK14 South Ostrobothnia,Employed,Total,79288
2001,MK14 South Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,3844
2001,MK14 South Ostrobothnia,Unemployed,Total,11102
2001,MK14 South Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,96
2001,MK15 Ostrobothnia,Total,Total,167986
2001,MK15 Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,6455
2001,MK15 Ostrobothnia,Employed,Total,72953
2001,MK15 Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,5449
2001,MK15 Ostrobothnia,Unemployed,Total,7355
2001,MK15 Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,147
2001,MK10 South Savo,Total,Total,154978
2001,MK10 South Savo,Total,7-8 Master's or equivalent level or doctoral or equivalent level,4521
2001,MK10 South Savo,Employed,Total,58342
2001,MK10 South Savo,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,3540
2001,MK10 South Savo,Unemployed,Total,11311
2001,MK10 South Savo,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,116
2001,MK11 North Savo,Total,Total,258664
2001,MK11 North Savo,Total,7-8 Master's or equivalent level or doctoral or equivalent level,8954
2001,MK11 North Savo,Employed,Total,98122
2001,MK11 North Savo,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,7378
2001,MK11 North Savo,Unemployed,Total,18705
2001,MK11 North Savo,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,228
2001,MK12 North Karelia,Total,Total,175322
2001,MK12 North Karelia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,5702
2001,MK12 North Karelia,Employed,Total,62979
2001,MK12 North Karelia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,4536
2001,MK12 North Karelia,Unemployed,Total,15054
2001,MK12 North Karelia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,228
2001,MK16 Central Ostrobothnia,Total,Total,67671
2001,MK16 Central Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,1716
2001,MK16 Central Ostrobothnia,Employed,Total,27067
2001,MK16 Central Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,1478
2001,MK16 Central Ostrobothnia,Unemployed,Total,4077
2001,MK16 Central Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,49
2001,MK17 North Ostrobothnia,Total,Total,375182
2001,MK17 North Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,15750
2001,MK17 North Ostrobothnia,Employed,Total,148504
2001,MK17 North Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,13559
2001,MK17 North Ostrobothnia,Unemployed,Total,25313
2001,MK17 North Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,453
2001,MK18 Kainuu,Total,Total,84497
2001,MK18 Kainuu,Total,7-8 Master's or equivalent level or doctoral or equivalent level,2252
2001,MK18 Kainuu,Employed,Total,29152
2001,MK18 Kainuu,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,1876
2001,MK18 Kainuu,Unemployed,Total,8795
2001,MK18 Kainuu,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,74
2001,MK19 Lapland,Total,Total,189288
2001,MK19 Lapland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,5377
2001,MK19 Lapland,Employed,Total,68928
2001,MK19 Lapland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,4434
2001,MK19 Lapland,Unemployed,Total,18003
2001,MK19 Lapland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,189
2001,MK21 Åland,Total,Total,26008
2001,MK21 Åland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,813
2001,MK21 Åland,Employed,Total,13125
2001,MK21 Åland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,656
2001,MK21 Åland,Unemployed,Total,263
2001,MK21 Åland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,7
2002,MK01 Uusimaa,Total,Total,1419938
2002,MK01 Uusimaa,Total,7-8 Master's or equivalent level or doctoral or equivalent level,127200
2002,MK01 Uusimaa,Employed,Total,702861
2002,MK01 Uusimaa,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,101651
2002,MK01 Uusimaa,Unemployed,Total,59598
2002,MK01 Uusimaa,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,3709
2002,MK02 Southwest Finland,Total,Total,450968
2002,MK02 Southwest Finland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,23755
2002,MK02 Southwest Finland,Employed,Total,198472
2002,MK02 Southwest Finland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,18679
2002,MK02 Southwest Finland,Unemployed,Total,22985
2002,MK02 Southwest Finland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,802
2002,MK05 Kanta-Häme,Total,Total,165886
2002,MK05 Kanta-Häme,Total,7-8 Master's or equivalent level or doctoral or equivalent level,6077
2002,MK05 Kanta-Häme,Employed,Total,70987
2002,MK05 Kanta-Häme,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,4777
2002,MK05 Kanta-Häme,Unemployed,Total,8820
2002,MK05 Kanta-Häme,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,115
2002,MK07 Päijät-Häme,Total,Total,205464
2002,MK07 Päijät-Häme,Total,7-8 Master's or equivalent level or doctoral or equivalent level,6393
2002,MK07 Päijät-Häme,Employed,Total,85565
2002,MK07 Päijät-Häme,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,4982
2002,MK07 Päijät-Häme,Unemployed,Total,13834
2002,MK07 Päijät-Häme,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,158
2002,MK08 Kymenlaakso,Total,Total,178735
2002,MK08 Kymenlaakso,Total,7-8 Master's or equivalent level or doctoral or equivalent level,5291
2002,MK08 Kymenlaakso,Employed,Total,72390
2002,MK08 Kymenlaakso,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,4081
2002,MK08 Kymenlaakso,Unemployed,Total,12053
2002,MK08 Kymenlaakso,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,141
2002,MK09 South Karelia,Total,Total,135840
2002,MK09 South Karelia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,4553
2002,MK09 South Karelia,Employed,Total,53508
2002,MK09 South Karelia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,3649
2002,MK09 South Karelia,Unemployed,Total,10005
2002,MK09 South Karelia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,158
2002,MK04 Satakunta,Total,Total,230480
2002,MK04 Satakunta,Total,7-8 Master's or equivalent level or doctoral or equivalent level,6663
2002,MK04 Satakunta,Employed,Total,92804
2002,MK04 Satakunta,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,5443
2002,MK04 Satakunta,Unemployed,Total,16686
2002,MK04 Satakunta,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,173
2002,MK06 Pirkanmaa,Total,Total,460103
2002,MK06 Pirkanmaa,Total,7-8 Master's or equivalent level or doctoral or equivalent level,24249
2002,MK06 Pirkanmaa,Employed,Total,197880
2002,MK06 Pirkanmaa,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,19777
2002,MK06 Pirkanmaa,Unemployed,Total,28847
2002,MK06 Pirkanmaa,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,847
2002,MK13 Central Finland,Total,Total,263889
2002,MK13 Central Finland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,12101
2002,MK13 Central Finland,Employed,Total,105181
2002,MK13 Central Finland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,9748
2002,MK13 Central Finland,Unemployed,Total,18723
2002,MK13 Central Finland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,452
2002,MK14 South Ostrobothnia,Total,Total,199190
2002,MK14 South Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,4727
2002,MK14 South Ostrobothnia,Employed,Total,79929
2002,MK14 South Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,3975
2002,MK14 South Ostrobothnia,Unemployed,Total,10059
2002,MK14 South Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,80
2002,MK15 Ostrobothnia,Total,Total,167921
2002,MK15 Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,6744
2002,MK15 Ostrobothnia,Employed,Total,73333
2002,MK15 Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,5669
2002,MK15 Ostrobothnia,Unemployed,Total,6902
2002,MK15 Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,140
2002,MK10 South Savo,Total,Total,153864
2002,MK10 South Savo,Total,7-8 Master's or equivalent level or doctoral or equivalent level,4652
2002,MK10 South Savo,Employed,Total,58189
2002,MK10 South Savo,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,3595
2002,MK10 South Savo,Unemployed,Total,10689
2002,MK10 South Savo,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,124
2002,MK11 North Savo,Total,Total,257728
2002,MK11 North Savo,Total,7-8 Master's or equivalent level or doctoral or equivalent level,9332
2002,MK11 North Savo,Employed,Total,98798
2002,MK11 North Savo,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,7678
2002,MK11 North Savo,Unemployed,Total,17240
2002,MK11 North Savo,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,222
2002,MK12 North Karelia,Total,Total,174236
2002,MK12 North Karelia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,5947
2002,MK12 North Karelia,Employed,Total,63365
2002,MK12 North Karelia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,4758
2002,MK12 North Karelia,Unemployed,Total,13993
2002,MK12 North Karelia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,251
2002,MK16 Central Ostrobothnia,Total,Total,67497
2002,MK16 Central Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,1784
2002,MK16 Central Ostrobothnia,Employed,Total,27487
2002,MK16 Central Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,1533
2002,MK16 Central Ostrobothnia,Unemployed,Total,3630
2002,MK16 Central Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,35
2002,MK17 North Ostrobothnia,Total,Total,377045
2002,MK17 North Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,16583
2002,MK17 North Ostrobothnia,Employed,Total,149732
2002,MK17 North Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,14236
2002,MK17 North Ostrobothnia,Unemployed,Total,23863
2002,MK17 North Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,466
2002,MK18 Kainuu,Total,Total,83477
2002,MK18 Kainuu,Total,7-8 Master's or equivalent level or doctoral or equivalent level,2277
2002,MK18 Kainuu,Employed,Total,28885
2002,MK18 Kainuu,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,1921
